round,policy,microseconds,status
147,snapshot,68.291,compensated
147,value,191.25,compensated
147,undoscope,86.75,compensated
148,deny,55.208,denied
148,value,85.667,compensated
148,mapped,71.666,compensated
148,field,70.542,compensated
148,object,68.292,compensated
148,snapshot,76.209,compensated
148,undoscope,62.458,compensated
149,undoscope,61.708,compensated
149,mapped,68.041,compensated
149,field,70.25,compensated
149,value,84.166,compensated
149,snapshot,73.417,compensated
149,object,79.042,compensated
149,deny,41.25,denied
150,value,60.458,compensated
150,deny,45.0,denied
150,field,66.958,compensated
150,undoscope,63.541,compensated
150,mapped,81.334,compensated
150,snapshot,72.834,compensated
150,object,71.916,compensated
151,snapshot,73.583,compensated
